app_id,title,release_date,user_tags,full price,sale price,windows,mac,linux,genres,developers,publishers
2086780,B.L.A.C.K. - 1,"4 Sep, 2023","['Action', 'Adventure', 'Shooter', 'Action Roguelike', 'FPS', 'Roguelite', 'Space', 'Sci-fi', 'Physics', 'Singleplayer', '3D', 'First-Person', 'Realistic', 'Futuristic', 'Atmospheric', 'Combat', 'Linear', 'PvE', 'Perma Death', 'Roguelike']",£4.29,£4.29,True,False,False,"['Action', 'Adventure', 'Indie']",['Scared Astronaut'],['Scared Astronaut']
2550270,Mars Training Camp VR,"4 Sep, 2023","['Simulation', 'Mars', 'VR', 'Realistic', 'Singleplayer', 'Education', 'Exploration', 'Space Sim', 'Base Building']",£12.79,£12.79,True,False,False,['Simulation'],['Christopher Shove'],['SIMWERX LLC']
2407840,Lobber,"4 Sep, 2023","['Action', 'Arcade', 'Hack and Slash', 'Top-Down Shooter', 'Combat', 'Fantasy', 'Magic', '3D', 'Indie', 'Controller', 'Singleplayer']",£4.29,£4.29,True,False,False,"['Action', 'Indie']","['Jaden Servant', 'Ryan Pratt', 'Michael Roskuski', 'Mike West', 'Anthony Gatturna']",['Lobber Team']
2534450,Geko: In Search Of The Big Fly,"4 Sep, 2023","['Adventure', '2D Platformer', 'Pixel Graphics', 'Cute', 'Singleplayer', 'Side Scroller', '2D', 'Colorful', 'Retro', 'Indie', 'Platformer', 'Linear', ""1990's""]",£1.69,£1.35,True,False,False,"['Adventure', 'Indie']",['Mid-Up Games'],['Mid-Up Games']
1489970,Highrise City,"4 Sep, 2023","['Strategy', 'Simulation', 'City Builder', 'Colony Sim', 'Sandbox', 'Immersive Sim', '3D', 'Cinematic', 'Colorful', 'Building', 'Diplomacy', 'Economy', 'Family Friendly', 'Management', 'Modern', 'Relaxing', 'Moddable', 'Open World', 'Resource Management', 'Singleplayer']",£7.19,£7.19,True,False,False,"['Simulation', 'Strategy']",['Fourexo Entertainment'],['Deck13']
2534650,Meet Her There,"4 Sep, 2023","['Story Rich', 'Interactive Fiction', 'Visual Novel', 'Atmospheric', 'LGBTQ+', 'Female Protagonist', 'Psychological', 'Walking Simulator', 'Dark', 'Pixel Graphics', 'Adventure', 'Stylized', 'Exploration', '2D', 'Emotional', 'First-Person', 'Singleplayer', 'Narration', 'Casual', 'Drama']",£1.69,£1.43,True,True,True,"['Adventure', 'Casual', 'Indie']",['Sinisthesis'],['Sinisthesis']
2550860,New World,"4 Sep, 2023","['Open World', 'Action', 'Survival', 'Base Building', 'Building', 'Third Person', 'Action-Adventure', 'FPS', 'Adventure', 'Indie', 'Early Access', 'Singleplayer', 'Local Co-Op', 'Local Multiplayer']",£11.79,£11.79,True,False,False,"['Action', 'Adventure', 'Indie', 'Early Access']",['FullHead Game'],['FullHead Game']
1745160,Forest Football,"4 Sep, 2023","['Early Access', 'Action', 'Casual', '3D', 'First-Person', 'Realistic', 'Driving', 'Arcade', 'Combat Racing', 'Cute', 'Sports', 'Third Person', 'Destruction', 'Family Friendly', 'Football (Soccer)', 'Funny', 'Multiplayer', 'Racing', 'Physics', 'Offroad']",£7.49,£5.99,True,False,False,"['Action', 'Casual', 'Indie', 'Sports', 'Strategy', 'Early Access']",['Golden Cube'],['Golden Cube']
2358740,12 Angry Hours,"4 Sep, 2023","['Action Roguelike', 'Bullet Hell', 'Idler', 'Roguelite', 'PvE', '2D', 'Top-Down', 'Action', 'Relaxing', 'Nonlinear', 'Minimalist', 'Colorful', 'Psychedelic', 'Retro', 'Indie', 'Combat', 'Singleplayer']",£0.89,£0.89,True,False,False,"['Action', 'Indie']",['Ahvic'],['Ahvic']
2560220,Getting Out Alive,"4 Sep, 2023","['Action', 'Strategy', 'Shooter', 'FPS', ""Shoot 'Em Up"", 'Wargame', '3D', 'First-Person', 'Realistic', 'Military', 'Nature', 'Old School', 'Survival', 'Tactical', 'War', 'Combat', 'Story Rich', 'Singleplayer', 'Indie', 'Violent']",£9.99,£7.49,True,False,False,"['Action', 'Indie', 'Strategy']",['Sumant Bag'],['TrendbySumant']
2563570,Jump Like a Grad Student,"4 Sep, 2023","['Adventure', 'Casual', 'Indie', 'Arcade', 'Runner', '3D', 'Realistic', 'Third Person', 'Parkour', 'Singleplayer']",£5.89,£4.71,True,False,False,"['Adventure', 'Casual', 'Indie']",['Green Onion Games'],['Green Onion Games']
2559420,猫咪公寓,"4 Sep, 2023","['Casual', 'Puzzle', 'Creature Collector', '2.5D', 'Adventure', 'Relaxing', 'Singleplayer', 'Cartoony', 'Cute', 'Family Friendly', 'Point & Click', 'Exploration', 'Collectathon', 'Minimalist', 'Wholesome', 'Cozy', 'Clicker', 'Hidden Object']",£1.69,£1.01,True,False,False,"['Adventure', 'Casual']",['MaskCatStudio'],['没有发行商']
2557880,Chinese Pope Door,"4 Sep, 2023","['Action Roguelike', 'Tactical RPG', '3D Platformer', 'Hack and Slash', 'Interactive Fiction', 'RPG', 'Action RPG', 'Action-Adventure', '2.5D', '2D', 'Cute', 'Historical', 'Relaxing', 'Funny', 'Story Rich', 'Colorful', 'Family Friendly', 'Adventure', 'Drama', 'Combat']",£4.29,£3.86,True,True,False,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",['ZHOU MINGRUI'],['ZHOU MINGRUI']
2556040,傀儡の宿 - Kairai Inn -,"4 Sep, 2023","['Action', 'Survival Horror', 'Score Attack', 'Singleplayer', '3D', 'Horror', '3D Platformer', 'Survival', 'Indie', 'FPS']",£4.29,£4.29,True,False,False,"['Action', 'Indie']",['9log6'],['9log6']
